match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
23067,1998-09-13,Bahrain,Libya,2.0,2.0,Friendly,Doha,Qatar,True
23068,1998-09-13,Kuwait,North Korea,4.0,0.0,Friendly,Kuwait City,Kuwait,False
23069,1998-09-14,Saudi Arabia,Sudan,2.0,1.0,Friendly,Dammam,Saudi Arabia,False
23070,1998-09-15,Syria,Oman,0.0,0.0,Friendly,Damascus,Syria,False
23071,1998-09-16,Egypt,Ivory Coast,0.0,0.0,Friendly,Cairo,Egypt,False
23072,1998-09-16,Qatar,Sudan,1.0,1.0,Friendly,Doha,Qatar,False
23073,1998-09-16,United Arab Emirates,Libya,5.0,1.0,Friendly,Abu Dhabi,United Arab Emirates,False
23074,1998-09-17,Saudi Arabia,Senegal,3.0,2.0,Friendly,Dammam,Saudi Arabia,False
23075,1998-09-18,Bahrain,Syria,2.0,0.0,Friendly,Manama,Bahrain,False
23076,1998-09-19,Solomon Islands,Papua New Guinea,2.0,1.0,Friendly,Honiara,Solomon Islands,False
23077,1998-09-20,Togo,Mali,0.0,1.0,Friendly,Lomé,Togo,False
23078,1998-09-22,Oman,Zambia,2.0,0.0,Friendly,Muscat,Oman,False
23079,1998-09-22,Qatar,Libya,2.0,1.0,Arab Cup,Doha,Qatar,False
23080,1998-09-23,Brazil,Serbia,1.0,1.0,Friendly,São Luís,Brazil,False
23081,1998-09-23,Estonia,Egypt,2.0,2.0,Friendly,Tallinn,Estonia,False
23082,1998-09-23,Spain,Russia,1.0,0.0,Friendly,Granada,Spain,False
23083,1998-09-24,Libya,Jordan,1.0,2.0,Arab Cup,Doha,Qatar,True
23084,1998-09-24,Oman,Zambia,1.0,1.0,Friendly,Muscat,Oman,False
23085,1998-09-25,Australia,Fiji,3.0,1.0,Oceania Nations Cup,Brisbane,Australia,False
